,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66,element,potential,crystalstructure
0,232.927,154.457,154.457,-0.0,0.0,-0.0,154.457,232.927,154.457,-0.0,0.0,0.0,154.457,154.457,232.927,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,131.758,-0.0,-0.0,0.0,0.0,-0.0,-0.0,131.758,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,131.758,Ni,1985--Foiles-S-M--Ni-Cu,fcc
1,168.642,123.468,123.468,-0.0,0.0,0.0,123.468,168.642,123.468,-0.0,0.0,0.0,123.468,123.468,168.642,-0.0,0.0,0.0,0.0,-0.0,-0.0,76.591,0.0,0.0,0.0,0.0,-0.0,-0.0,76.591,0.0,0.0,-0.0,0.0,-0.0,0.0,76.591,Cu,1985--Foiles-S-M--Ni-Cu,fcc
2,129.136,91.042,91.042,-0.0,-0.0,-0.0,91.042,129.136,91.042,-0.0,0.0,-0.0,91.042,91.042,129.136,-0.0,0.0,-0.0,0.0,-0.0,-0.0,56.787,-0.0,0.0,0.0,0.0,-0.0,-0.0,56.787,0.0,0.0,-0.0,0.0,-0.0,0.0,56.787,Ag,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag-Au-Cu-Ni-Pd-Pt,fcc
3,183.166,158.757,158.757,0.0,-0.0,-0.0,158.757,183.166,158.757,0.0,-0.0,-0.0,158.757,158.757,183.166,0.0,-0.0,0.0,0.0,0.0,-0.0,44.725,-0.0,0.0,0.0,0.0,-0.0,0.0,44.725,0.0,0.0,0.0,0.0,0.0,-0.0,44.725,Au,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag-Au-Cu-Ni-Pd-Pt,fcc
4,167.265,124.153,124.153,0.0,0.0,0.0,124.153,167.265,124.153,0.0,0.0,-0.0,124.153,124.153,167.265,0.0,-0.0,-0.0,0.0,0.0,-0.0,76.447,0.0,-0.0,0.0,0.0,-0.0,0.0,76.447,0.0,0.0,-0.0,0.0,0.0,0.0,76.447,Cu,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag-Au-Cu-Ni-Pd-Pt,fcc
5,233.273,154.287,154.287,0.0,-0.0,-0.0,154.287,233.273,154.287,0.0,-0.0,-0.0,154.287,154.287,233.273,0.0,0.0,-0.0,-0.0,-0.0,-0.0,127.637,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,127.637,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,127.637,Ni,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag-Au-Cu-Ni-Pd-Pt,fcc
6,218.187,184.455,184.455,0.0,-0.0,-0.0,184.455,218.187,184.455,0.0,-0.0,0.0,184.455,184.455,218.187,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,64.914,0.0,0.0,-0.0,0.0,-0.0,0.0,64.914,0.0,-0.0,-0.0,0.0,0.0,-0.0,64.914,Pd,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag-Au-Cu-Ni-Pd-Pt,fcc
7,303.052,273.105,273.105,0.0,0.0,0.0,273.105,303.052,273.105,-0.0,0.0,0.0,273.105,273.105,303.052,0.0,-0.0,0.0,0.0,-0.0,-0.0,68.283,0.0,-0.0,-0.0,0.0,-0.0,-0.0,68.283,-0.0,0.0,-0.0,0.0,-0.0,0.0,68.283,Pt,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ag-Au-Cu-Ni-Pd-Pt,fcc
8,167.265,124.153,124.153,0.0,0.0,0.0,124.153,167.265,124.153,0.0,0.0,-0.0,124.153,124.153,167.265,0.0,-0.0,-0.0,0.0,0.0,-0.0,76.447,0.0,-0.0,0.0,0.0,-0.0,0.0,76.447,0.0,0.0,-0.0,0.0,0.0,0.0,76.447,Cu,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Cu,fcc
9,233.273,154.287,154.287,0.0,-0.0,-0.0,154.287,233.273,154.287,0.0,-0.0,-0.0,154.287,154.287,233.273,0.0,0.0,-0.0,-0.0,-0.0,-0.0,127.637,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,127.637,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,127.637,Ni,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Ni,fcc
