     Conf.      atom         Ref. Fx(Ha/Bohr)         Ref. Fy(Ha/Bohr)         Ref. Fz(Ha/Bohr)           NN Fx(Ha/Bohr)           NN Fy(Ha/Bohr)           NN Fz(Ha/Bohr)
         1         1               0.00000000               0.00000000               0.00000000              -0.00000000               0.00000000               0.00000000
         2         1               0.00000000               0.00000000               0.00000000              -0.00000000              -0.00000000               0.00000000
         3         1               0.00000000               0.00000000               0.00000000               0.00000000              -0.00000000               0.00000000
         4         1               0.00143462               0.00334661              -0.00152994               0.00097580               0.00305899              -0.00047040
         4         2               0.00130963               0.00094834               0.00421287               0.00152476               0.00252830               0.00146891
         4         3               0.00886106              -0.00507777               0.00589511               0.00414493              -0.00157092               0.00337923
         4         4              -0.00056561               0.00365957               0.00050020               0.00113729               0.00231526               0.00008519
         4         5               0.00610708               0.00072710               0.00271653               0.00336851               0.00122803               0.00250148
         4         6               0.00200903               0.00415733              -0.00796296               0.00196804               0.00325917              -0.00357154
         4         7               0.01025395              -0.00635871               0.00541685               0.00524095              -0.00185845               0.00302814
         4         8               0.00176498               0.00400121               0.00208781               0.00167857               0.00295548               0.00062536
         4         9              -0.00693926               0.00292991              -0.00789153              -0.00345366              -0.00019390              -0.00352598
         4        10              -0.00943294              -0.00321810              -0.00011163              -0.00509709              -0.00252727              -0.00097794
         4        11              -0.00048896              -0.00300636               0.00070260              -0.00102035              -0.00215679               0.00040707
         4        12              -0.01015497               0.00461337              -0.00612176              -0.00531545               0.00117439              -0.00354555
         4        13              -0.00469790              -0.00017776               0.00068614              -0.00228134              -0.00082593               0.00052025
         4        14               0.00153956               0.00250474              -0.00155817              -0.00048461               0.00003747              -0.00076103
         4        15               0.00128467              -0.00592664              -0.00094895              -0.00091564              -0.00476085              -0.00011634
         4        16              -0.00228492              -0.00312284               0.00390686              -0.00147070              -0.00266297               0.00095313
         5         1               0.00000000               0.00000000               0.00000000              -0.00000000              -0.00000000               0.00000000
         6         1               0.00000001               0.00000001              -0.00000021              -0.00000000               0.00000000               0.00000006
         6         2               0.00000000               0.00000213              -0.00000111               0.00000000               0.00000000              -0.00000006
         6         3               0.00000000               0.00000001               0.00000015              -0.00000000              -0.00000000               0.00000006
         6         4               0.00000000              -0.00000215               0.00000116               0.00000000              -0.00000000              -0.00000006
         7         1              -0.00155492              -0.00514420              -0.00084624              -0.00296094              -0.00354620               0.00174917
         7         2              -0.00776365               0.00295741               0.00581418              -0.00768157               0.00291195               0.00444190
         7         3              -0.00267925               0.00398003               0.00527859              -0.00105410               0.00340379               0.00426716
         7         4               0.00951835               0.00722254               0.00856674               0.00697700               0.00673900               0.00693212
         7         5               0.00715502               0.00595827              -0.00216824               0.00504988               0.00462800              -0.00247886
         7         6              -0.00216247              -0.00588649               0.00260977              -0.00231558              -0.00382888               0.00228399
         7         7              -0.00579248              -0.01337692              -0.00033267              -0.00322376              -0.01046537               0.00060967
         7         8              -0.00397639               0.01519234               0.00359612              -0.00619139               0.01142957               0.00256791
         7         9               0.00410425               0.00106972              -0.00672377               0.00544194               0.00063158              -0.00662725
         7        10               0.00496322               0.00845998              -0.00847029               0.00411778               0.00715791              -0.01153559
         7        11              -0.00425908              -0.00265858               0.00818784              -0.00408977              -0.00206735               0.00716436
         7        12               0.00845960              -0.00167259              -0.00080837               0.00925900               0.00016092              -0.00185945
         7        13               0.00095404              -0.00864398               0.00287066               0.00204337              -0.00936676               0.00466341
         7        14               0.00488024              -0.00087386              -0.01219404               0.00400478              -0.00054976              -0.01350612
         7        15               0.00009693              -0.00215167              -0.00689861              -0.00050837              -0.00300573              -0.00247679
         7        16              -0.01194340              -0.00443200               0.00151832              -0.00886828              -0.00423267               0.00380436
         8         1              -0.00000001              -0.00000001              -0.01239263               0.00000000              -0.00000000              -0.01313510
         8         2               0.00000001               0.00000001              -0.00043550               0.00000000               0.00000000               0.00032077
         8         3               0.00000000              -0.00000001               0.00001906              -0.00000000               0.00000000               0.00037622
         8         4               0.00000000               0.00000000               0.00001611               0.00000000              -0.00000000               0.00039314
         8         5               0.00000000               0.00000000              -0.00001611              -0.00000000               0.00000000              -0.00039314
         8         6               0.00000000               0.00000000              -0.00001907               0.00000000              -0.00000000              -0.00037622
         8         7               0.00000001              -0.00000001               0.00043550              -0.00000000              -0.00000000              -0.00032077
         8         8              -0.00000001               0.00000000               0.01239263              -0.00000000               0.00000000               0.01313510
         9         1               0.00068958              -0.00025577               0.00050103               0.00083030              -0.00019264               0.00063978
         9         2              -0.00155330              -0.00017684               0.00131611              -0.00108410              -0.00028946               0.00045799
         9         3              -0.00189576              -0.00146859              -0.00011791              -0.00121238              -0.00076992              -0.00016046
         9         4              -0.00029326              -0.00001668              -0.00151590              -0.00059192              -0.00002760              -0.00111118
         9         5               0.00031449              -0.00022219               0.00107563               0.00061447              -0.00020797               0.00082497
         9         6               0.00209146               0.00184926               0.00053435               0.00131254               0.00102716               0.00038202
         9         7               0.00051491               0.00063203              -0.00038186               0.00063571               0.00042114              -0.00002824
         9         8               0.00013189              -0.00034122              -0.00141145              -0.00050462               0.00003930              -0.00100488
        10         1               0.00000001               0.00000000              -0.05408312               0.00000000               0.00000000              -0.05663065
        10         2               0.00000000               0.00000001              -0.00000035              -0.00000000              -0.00000000              -0.00000000
        10         3              -0.00000001               0.00000000               0.05408347               0.00000000               0.00000000               0.05663065
        11         1               0.00048847               0.00049274              -0.00307623              -0.00004759               0.00075973              -0.00184358
        11         2              -0.00018076               0.00215577               0.00072838              -0.00001062               0.00138642              -0.00023460
        11         3               0.00358568               0.00037732               0.00016943               0.00367943              -0.00008658               0.00051620
        11         4              -0.00202899              -0.00071131               0.00166217              -0.00117306              -0.00171236               0.00101895
        11         5              -0.00151416              -0.00108877               0.00213529              -0.00078000              -0.00057662               0.00186438
        11         6              -0.00144510              -0.00122819              -0.00294431              -0.00161308              -0.00011155              -0.00289953
        11         7              -0.00204828              -0.00123191               0.00209333              -0.00192251              -0.00155289               0.00183659
        11         8               0.00314314               0.00123435              -0.00076806               0.00186743               0.00189386              -0.00025840
        12         1              -0.00797128              -0.00949145              -0.00636174              -0.00635021              -0.00783530              -0.00498973
        12         2              -0.00799398               0.00896868               0.00644104              -0.00661814               0.00751020               0.00452115
        12         3               0.00349321              -0.00799453               0.00699763               0.00648475              -0.00606367               0.00432291
        12         4               0.00728893              -0.00163257              -0.00442170               0.00777774               0.00045906              -0.00503240
        12         5              -0.00289399               0.00565879               0.00003107              -0.00356824               0.00265684               0.00199590
        12         6               0.00551082               0.00527264              -0.00046596               0.00209506               0.00345723               0.00115492
        12         7               0.00512280              -0.00958000              -0.01523971               0.00353650              -0.00764680              -0.01270295
        12         8              -0.00255650               0.00879845               0.01301939              -0.00335746               0.00746244               0.01073020
        13         1               0.00000000               0.00000000               0.00000000               0.00000000               0.00000000               0.00000000
        14         1               0.00391211              -0.00081041               0.02020366               0.00207930              -0.00012179               0.01958626
        14         2              -0.00131411               0.00020779               0.00544593              -0.00135789              -0.00055804               0.00654234
        14         3              -0.00001060               0.00134150              -0.01436922               0.00039726               0.00046077              -0.01427064
        14         4              -0.00258740              -0.00073888              -0.01128037              -0.00111867               0.00021906              -0.01185796
        15         1               0.00000000               0.00000000               0.00000000              -0.00000000              -0.00000000              -0.00000000
        16         1              -0.00016485               0.00002599              -0.00010596              -0.00015413              -0.00062594               0.00006666
        16         2               0.00016485              -0.00002599               0.00010596               0.00015413               0.00062594              -0.00006666
        17         1               0.00000000               0.00000000               0.00000000               0.00000000               0.00000000               0.00000000
        18         1               0.00000000               0.00000000               0.00713986              -0.00000000              -0.00000000               0.00897201
        18         2               0.00000000               0.00000000              -0.00713986               0.00000000               0.00000000              -0.00897201
        19         1               0.00000000               0.00000000               0.00000000               0.00000000              -0.00000000              -0.00000000
