     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
         1         1                   -0.10185257                   -0.09956402                   -0.00228855
         2         1                   -0.10469430                   -0.10492525                    0.00023095
         3         1                   -0.12142614                   -0.12395849                    0.00253235
         4        16                   -1.47339889                   -1.46901606                   -0.00027393
         5         1                   -0.10168036                   -0.10156085                   -0.00011950
         6         4                   -0.53272721                   -0.52831607                   -0.00110278
         7        16                   -2.13190095                   -2.12757051                   -0.00027065
         8         8                   -1.00098257                   -0.99332755                   -0.00095688
         9         8                   -0.97312883                   -0.97448665                    0.00016973
        10         3                   -0.34022598                   -0.34276168                    0.00084523
        11         8                   -0.74366155                   -0.74151735                   -0.00026802
        12         8                   -1.06913465                   -1.06973186                    0.00007465
        13         1                   -0.11435012                   -0.11536233                    0.00101221
        14         4                   -0.45391436                   -0.45440073                    0.00012159
        15         1                   -0.13230674                   -0.13214450                   -0.00016225
        16         2                   -0.26961980                   -0.26975729                    0.00006874
        17         1                   -0.11183638                   -0.11208115                    0.00024477
        18         2                   -0.21073288                   -0.20776028                   -0.00148630
        19         1                   -0.09875063                   -0.09871170                   -0.00003893
        20         8                   -0.94516358                   -0.94716969                    0.00025076
        21        16                   -1.54203223                   -1.54160471                   -0.00002672
        22         6                   -0.71945935                   -0.72041434                    0.00015917
        23         3                   -0.39225745                   -0.39066373                   -0.00053124
        24         8                   -1.02051723                   -1.02371146                    0.00039928
        25         3                   -0.34574561                   -0.34555677                   -0.00006295
        26         8                   -0.87940628                   -0.88125766                    0.00023142
        27         4                   -0.39057620                   -0.39259739                    0.00050530
        28        16                   -1.47690067                   -1.47688428                   -0.00000102
        29         4                   -0.53584858                   -0.53863465                    0.00069652
        30         1                   -0.12358470                   -0.12257931                   -0.00100539
        31        16                   -1.89334692                   -1.89533166                    0.00012405
        32         4                   -0.46183036                   -0.46314619                    0.00032896
        33         8                   -0.86507839                   -0.86663797                    0.00019495
        34         3                   -0.33335451                   -0.33321273                   -0.00004726
        35         8                   -0.96534076                   -0.96758609                    0.00028067
        36         6                   -0.80205634                   -0.80276348                    0.00011786
        37         3                   -0.30995548                   -0.30920203                   -0.00025115
        38         6                   -0.81131023                   -0.80960287                   -0.00028456
        39        64                   -7.43843472                   -7.45402798                    0.00024364
        40         4                   -0.49135539                   -0.49223081                    0.00021886
        41         6                   -0.67716628                   -0.67881734                    0.00027518
        42         4                   -0.38690327                   -0.38766706                    0.00019095
        43         8                   -0.92476132                   -0.92470883                   -0.00000656
        44         4                   -0.54060992                   -0.53935398                   -0.00031398
        45         3                   -0.31452696                   -0.31421817                   -0.00010293
        46         7                   -0.91830631                   -0.91632893                   -0.00028248
        47        64                   -7.79667675                   -7.81249984                    0.00024724
        48        64                   -7.26972292                   -7.28387858                    0.00022118
        49         8                   -1.05573174                   -1.05795134                    0.00027745
        50         4                   -0.53695426                   -0.53573158                   -0.00030567
        51        16                   -2.11019001                   -2.11333270                    0.00019642
        52        16                   -2.12806264                   -2.13021658                    0.00013462
        53         4                   -0.52678933                   -0.52672907                   -0.00001507
        54         5                   -0.61002462                   -0.61078464                    0.00015200
