     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
         1        52                   -6.31339093                   -6.36528640                    0.00099799
         2         4                   -0.47464149                   -0.47872650                    0.00102125
         3         1                   -0.09659405                   -0.09673060                    0.00013655
         4         4                   -0.52205002                   -0.52012355                   -0.00048162
         5        10                   -1.28071828                   -1.27977243                   -0.00009458
         6         4                   -0.40084215                   -0.40077788                   -0.00001607
         7         5                   -0.59317721                   -0.59161706                   -0.00031203
         8         1                   -0.10481517                   -0.10531087                    0.00049570
         9         8                   -1.00276741                   -1.00284235                    0.00000937
        10         1                   -0.10351511                   -0.10301493                   -0.00050018
        11         8                   -0.83030374                   -0.83009324                   -0.00002631
        12         8                   -0.80864208                   -0.80597470                   -0.00033342
        13        16                   -1.52966428                   -1.52889123                   -0.00004832
        14        16                   -1.86943463                   -1.86436775                   -0.00031668
        15        10                   -1.21420486                   -1.21375341                   -0.00004515
        16         7                   -0.89646170                   -0.89379516                   -0.00038093
        17         5                   -0.60991575                   -0.60932313                   -0.00011852
        18         8                   -0.91404612                   -0.92030832                    0.00078277
        19         1                   -0.09780140                   -0.09899612                    0.00119472
        20         1                   -0.12809637                   -0.12627390                   -0.00182247
        21         8                   -1.08508979                   -1.08419925                   -0.00011132
        22         8                   -0.99180191                   -1.00081011                    0.00112603
        23        16                   -1.49085438                   -1.48994534                   -0.00005681
        24         1                   -0.10266322                   -0.10241610                   -0.00024712
        25         4                   -0.44021656                   -0.43883706                   -0.00034487
        26         3                   -0.40683550                   -0.40597371                   -0.00028726
        27         8                   -0.97895546                   -0.97665919                   -0.00028703
        28         3                   -0.30478007                   -0.32310827                    0.00610940
        29         1                   -0.09299032                   -0.09319298                    0.00020265
        30         4                   -0.49981602                   -0.49987440                    0.00001460
        31         1                   -0.10124808                   -0.10419553                    0.00294745
        32         8                   -0.93655177                   -0.93265934                   -0.00048655
        33         3                   -0.38949810                   -0.38786797                   -0.00054338
        34         4                   -0.53610529                   -0.53564021                   -0.00011627
        35        10                   -1.19258270                   -1.19389814                    0.00013154
        36         8                   -0.90908189                   -0.90848613                   -0.00007447
        37         2                   -0.27191538                   -0.27148086                   -0.00021726
        38        10                   -1.34770339                   -1.34468822                   -0.00030152
        39         8                   -0.95565097                   -0.95668736                    0.00012955
        40         4                   -0.46180291                   -0.45936315                   -0.00060994
        41         2                   -0.25328511                   -0.25247034                   -0.00040739
        42         1                   -0.10698291                   -0.10669582                   -0.00028710
        43         7                   -0.76883003                   -0.76864410                   -0.00002656
        44         1                   -0.09866464                   -0.10177319                    0.00310855
        45         8                   -1.06298797                   -1.07024357                    0.00090695
        46         4                   -0.53587477                   -0.53589347                    0.00000468
        47        16                   -2.12312543                   -2.12442738                    0.00008137
        48         8                   -0.85777266                   -0.85822975                    0.00005714
        49         2                   -0.25381004                   -0.25269566                   -0.00055719
        50         4                   -0.51963660                   -0.52854582                    0.00222731
        51        12                   -1.49949656                   -1.50189459                    0.00019984
        52         6                   -0.70888573                   -0.70893887                    0.00000886
        53         1                   -0.11269583                   -0.11319767                    0.00050184
        54        16                   -2.13838611                   -2.13753216                   -0.00005337
        55         2                   -0.27080319                   -0.26952311                   -0.00064004
        56         4                   -0.53590996                   -0.53464410                   -0.00031647
        57         2                   -0.22618221                   -0.22463698                   -0.00077262
        58         2                   -0.19256677                   -0.19130349                   -0.00063164
        59         1                   -0.13450718                   -0.13463505                    0.00012787
        60         6                   -0.71880410                   -0.71871498                   -0.00001485
        61         8                   -0.93585735                   -0.93797893                    0.00026520
        62         1                   -0.13229264                   -0.13356007                    0.00126743
        63         8                   -0.85027942                   -0.84647817                   -0.00047516
        64         8                   -0.99308190                   -0.99132194                   -0.00021999
        65         8                   -0.85883170                   -0.85983000                    0.00012479
        66         7                   -0.77687423                   -0.77950614                    0.00037599
        67        42                   -5.38967124                   -5.40028805                    0.00025278
        68         2                   -0.26549916                   -0.26491392                   -0.00029262
        69         4                   -0.53923342                   -0.53864440                   -0.00014726
        70         7                   -0.83827272                   -0.83646771                   -0.00025786
        71         4                   -0.51908501                   -0.51831262                   -0.00019310
        72         1                   -0.09857654                   -0.09735913                   -0.00121742
        73         4                   -0.50764451                   -0.50580972                   -0.00045870
        74         2                   -0.27092664                   -0.27057100                   -0.00017782
        75         4                   -0.54275041                   -0.54159854                   -0.00028797
        76        10                   -1.25634010                   -1.25522551                   -0.00011146
        77         4                   -0.45805750                   -0.45814287                    0.00002134
        78         4                   -0.53440178                   -0.53470583                    0.00007601
        79         9                   -1.09627503                   -1.09097909                   -0.00058844
        80         8                   -1.00862307                   -1.01166347                    0.00038005
        81         6                   -0.78320573                   -0.78223769                   -0.00016134
        82         8                   -0.86855370                   -0.86989099                    0.00016716
        83        16                   -1.52130636                   -1.51945369                   -0.00011579
        84         2                   -0.20012579                   -0.20056371                    0.00021896
        85         4                   -0.38474144                   -0.38562588                    0.00022111
        86         8                   -1.04039757                   -1.04082290                    0.00005317
        87         8                   -0.92084892                   -0.92001316                   -0.00010447
